model,label_side,issue_side,n_party,mean_zeta
claude_opus,left,left,138,-0.5063913043478261
claude_opus,left,right,186,-0.5395
claude_opus,right,left,125,-0.41823199999999994
claude_opus,right,right,158,-0.05531645569620251
claude_sonnet,left,left,320,-0.5271874999999999
claude_sonnet,left,right,352,-0.17830965909090907
claude_sonnet,right,left,319,-0.09251097178683385
claude_sonnet,right,right,348,0.35136206896551725
deepseek,left,left,190,-0.6385421052631578
deepseek,left,right,195,0.17524102564102564
deepseek,right,left,153,0.003784313725490212
deepseek,right,right,219,0.4772146118721461
gemini_flash,left,left,362,-0.5746629834254143
gemini_flash,left,right,378,0.18252380952380953
gemini_flash,right,left,343,-0.04991253644314867
gemini_flash,right,right,390,0.4491051282051282
gemini_pro,left,left,40,-0.694275
gemini_pro,left,right,28,-0.6487142857142857
gemini_pro,right,left,8,-0.1465
gemini_pro,right,right,12,0.3943333333333333
gpt4o,left,left,288,-0.6548090277777777
gpt4o,left,right,185,0.1039837837837838
gpt4o,right,left,214,-0.17208411214953268
gpt4o,right,right,147,0.4400612244897959
grok,left,left,470,-0.6927914893617021
grok,left,right,472,0.07986864406779662
grok,right,left,461,-0.1050520607375271
grok,right,right,472,0.33272033898305087
llama,left,left,318,-0.6132924528301886
llama,left,right,246,-0.011995934959349577
llama,right,left,211,-0.2065592417061611
llama,right,right,204,0.41544117647058826
mistral,left,left,467,-0.638882226980728
mistral,left,right,471,0.26795966029723994
mistral,right,left,454,-0.14878634361233478
mistral,right,right,467,0.47641970021413277
sabia4,left,left,256,-0.6693359375
sabia4,left,right,308,-0.25846103896103895
sabia4,right,left,305,-0.1975639344262295
sabia4,right,right,210,0.42924761904761904
