a,b,cells,same_broad,same_exact,pair
claude_opus,claude_sonnet,384,0.34375,0.328125,Claude Opus vs Claude Sonnet
claude_opus,deepseek,354,0.2175141242937853,0.1977401129943503,Claude Opus vs DeepSeek
claude_opus,gemini_flash,384,0.203125,0.18489583333333334,Claude Opus vs Gemini Flash
claude_opus,gemini_pro,384,0.296875,0.3151041666666667,Claude Opus vs Gemini Pro
claude_opus,gpt4o,384,0.25,0.24739583333333334,Claude Opus vs GPT-4o
claude_opus,grok,384,0.234375,0.22395833333333334,Claude Opus vs Grok
claude_opus,llama,384,0.2604166666666667,0.25,Claude Opus vs Llama
claude_opus,mistral,384,0.1640625,0.1484375,Claude Opus vs Mistral
claude_opus,sabia4,384,0.3151041666666667,0.3098958333333333,Claude Opus vs Sabiá 4
claude_opus,gpt5,52,0.17307692307692307,0.17307692307692307,Claude Opus vs GPT-5
claude_sonnet,deepseek,354,0.4491525423728814,0.3587570621468927,Claude Sonnet vs DeepSeek
claude_sonnet,gemini_flash,384,0.4583333333333333,0.3776041666666667,Claude Sonnet vs Gemini Flash
claude_sonnet,gemini_pro,384,0.028645833333333332,0.028645833333333332,Claude Sonnet vs Gemini Pro
claude_sonnet,gpt4o,384,0.22916666666666666,0.1796875,Claude Sonnet vs GPT-4o
claude_sonnet,grok,384,0.5651041666666666,0.4921875,Claude Sonnet vs Grok
claude_sonnet,llama,384,0.3229166666666667,0.2760416666666667,Claude Sonnet vs Llama
claude_sonnet,mistral,384,0.5390625,0.4583333333333333,Claude Sonnet vs Mistral
claude_sonnet,sabia4,384,0.5208333333333334,0.4817708333333333,Claude Sonnet vs Sabiá 4
claude_sonnet,gpt5,52,0.07692307692307693,0.057692307692307696,Claude Sonnet vs GPT-5
deepseek,gemini_flash,354,0.5875706214689266,0.5480225988700564,DeepSeek vs Gemini Flash
deepseek,gemini_pro,354,0.3163841807909605,0.3757062146892655,DeepSeek vs Gemini Pro
deepseek,gpt4o,354,0.4576271186440678,0.4491525423728814,DeepSeek vs GPT-4o
deepseek,grok,354,0.5508474576271186,0.4011299435028249,DeepSeek vs Grok
deepseek,llama,354,0.5112994350282486,0.4887005649717514,DeepSeek vs Llama
deepseek,mistral,354,0.6214689265536724,0.53954802259887,DeepSeek vs Mistral
deepseek,sabia4,354,0.3192090395480226,0.24858757062146894,DeepSeek vs Sabiá 4
deepseek,gpt5,51,0.0392156862745098,0.058823529411764705,DeepSeek vs GPT-5
gemini_flash,gemini_pro,384,0.1875,0.22135416666666666,Gemini Flash vs Gemini Pro
gemini_flash,gpt4o,384,0.4348958333333333,0.4140625,Gemini Flash vs GPT-4o
gemini_flash,grok,384,0.6328125,0.4713541666666667,Gemini Flash vs Grok
gemini_flash,llama,384,0.5130208333333334,0.4869791666666667,Gemini Flash vs Llama
gemini_flash,mistral,384,0.7239583333333334,0.625,Gemini Flash vs Mistral
gemini_flash,sabia4,384,0.328125,0.2552083333333333,Gemini Flash vs Sabiá 4
gemini_flash,gpt5,52,0.057692307692307696,0.07692307692307693,Gemini Flash vs GPT-5
gemini_pro,gpt4o,384,0.6197916666666666,0.65625,Gemini Pro vs GPT-4o
gemini_pro,grok,384,0.0234375,0.0234375,Gemini Pro vs Grok
gemini_pro,llama,384,0.4401041666666667,0.46875,Gemini Pro vs Llama
gemini_pro,mistral,384,0.041666666666666664,0.049479166666666664,Gemini Pro vs Mistral
gemini_pro,sabia4,384,0.041666666666666664,0.044270833333333336,Gemini Pro vs Sabiá 4
gemini_pro,gpt5,52,0.21153846153846154,0.21153846153846154,Gemini Pro vs GPT-5
gpt4o,grok,384,0.3255208333333333,0.24479166666666666,GPT-4o vs Grok
gpt4o,llama,384,0.5729166666666666,0.5546875,GPT-4o vs Llama
gpt4o,mistral,384,0.3567708333333333,0.2942708333333333,GPT-4o vs Mistral
gpt4o,sabia4,384,0.19270833333333334,0.15104166666666666,GPT-4o vs Sabiá 4
gpt4o,gpt5,52,0.1346153846153846,0.15384615384615385,GPT-4o vs GPT-5
grok,llama,384,0.4114583333333333,0.3255208333333333,Grok vs Llama
grok,mistral,384,0.7578125,0.59375,Grok vs Mistral
grok,sabia4,384,0.4348958333333333,0.3958333333333333,Grok vs Sabiá 4
grok,gpt5,52,0,0,Grok vs GPT-5
llama,mistral,384,0.4557291666666667,0.4192708333333333,Llama vs Mistral
llama,sabia4,384,0.2838541666666667,0.2421875,Llama vs Sabiá 4
llama,gpt5,52,0.17307692307692307,0.15384615384615385,Llama vs GPT-5
mistral,sabia4,384,0.4036458333333333,0.3333333333333333,Mistral vs Sabiá 4
mistral,gpt5,52,0,0,Mistral vs GPT-5
sabia4,gpt5,52,0.38461538461538464,0.3269230769230769,Sabiá 4 vs GPT-5
