model_key,level,n,agreement,kappa,advice_llm,advice_regex
all,all,101308,0.9581474315947408,0.37095775561991995,0.045445571919295616,0.02319658862083942
chatgpt_web,all,90025,0.9618328242154957,0.32862980327704605,0.03946681477367398,0.018872535406831436
claude_opus5,all,1252,0.9888178913738019,0.58353925109295,0.019169329073482427,0.007987220447284345
claude_sonnet5,all,1240,0.9846774193548387,0.2885614204614069,0.01129032258064516,0.010483870967741936
deepseek_v4_pro,all,1187,0.8306655433866892,0.40543362598092636,0.22325189553496208,0.11120471777590564
gemini_pro,all,1249,0.966373098478783,0.11151383760712513,0.010408326661329063,0.02802241793434748
gpt4o,all,1255,0.9258964143426295,0.5536728349031173,0.11792828685258964,0.06294820717131475
gpt56_luna,all,1261,0.9785884218873909,0.4985935820214116,0.026169706582077717,0.017446471054718478
gpt56_sol,all,1270,0.9881889763779528,0.4388807069219458,0.013385826771653543,0.007874015748031496
grok46,all,1176,0.7840136054421769,0.43964912412346685,0.32227891156462585,0.17772108843537415
llama_maverick,all,315,0.9238095238095239,0.6239928379588184,0.12380952380952381,0.10476190476190476
sabia4,all,1078,0.8933209647495362,0.4339321102090386,0.11038961038961038,0.10018552875695733
chatgpt_web,L1,800,1,,0,0
chatgpt_web,L2,6385,0.9893500391542678,-3.0872303856846787e-4,0.010493343774471418,1.5661707126076742e-4
chatgpt_web,L3,12791,1,,0,0
chatgpt_web,L4,12645,0.9493871095294583,0.2687509961966524,0.05251087386318703,0.018663503361012256
chatgpt_web,L5,12651,0.9438779543119121,0.37209042860851976,0.06173425025689669,0.03153900877400996
claude_opus5,L1,10,1,,0,0
claude_opus5,L2,89,0.9662921348314607,0.5572139303482598,0.056179775280898875,0.02247191011235955
claude_opus5,L3,176,1,,0,0
claude_opus5,L4,176,0.9886363636363636,0.4957020057306632,0.017045454545454544,0.005681818181818182
claude_opus5,L5,175,0.9942857142857143,0.7972190034762479,0.017142857142857144,0.011428571428571429
claude_sonnet5,L1,10,1,,0,0
claude_sonnet5,L2,84,0.9880952380952381,0,0,0.011904761904761904
claude_sonnet5,L3,178,1,,0,0
claude_sonnet5,L4,180,0.9888888888888889,0.49438202247190866,0.011111111111111112,0.011111111111111112
claude_sonnet5,L5,171,0.9766081871345029,0.32277227722772095,0.023391812865497075,0.011695906432748537
deepseek_v4_pro,L1,10,1,,0,0
deepseek_v4_pro,L2,83,0.5903614457831325,0.15761194029850756,0.4819277108433735,0.12048192771084337
deepseek_v4_pro,L3,180,0.9944444444444445,0,0,0.005555555555555556
deepseek_v4_pro,L4,170,0.7941176470588235,0.2988451567287296,0.2529411764705882,0.08235294117647059
deepseek_v4_pro,L5,152,0.631578947368421,0.31043421905379126,0.6447368421052632,0.3815789473684211
gemini_pro,L1,10,1,,0,0
gemini_pro,L2,90,0.9777777777777777,-0.011235955056187779,0.011111111111111112,0.011111111111111112
gemini_pro,L3,180,1,,0,0
gemini_pro,L4,177,1,,0,0
gemini_pro,L5,166,0.9156626506024096,0.18284106891701857,0.03614457831325301,0.07228915662650602
gpt4o,L1,10,1,,0,0
gpt4o,L2,88,0.9204545454545454,0.5936675461741422,0.14772727272727273,0.06818181818181818
gpt4o,L3,180,1,,0,0
gpt4o,L4,179,0.9385474860335196,0.6988836213488302,0.13966480446927373,0.0893854748603352
gpt4o,L5,175,0.7885714285714286,0.424904520827782,0.30857142857142855,0.15428571428571428
gpt56_luna,L1,10,1,,0,0
gpt56_luna,L2,88,0.9886363636363636,0.8513513513513515,0.045454545454545456,0.03409090909090909
gpt56_luna,L3,180,1,,0,0
gpt56_luna,L4,179,1,,0,0
gpt56_luna,L5,179,0.994413407821229,0.6641651031894934,0.0111731843575419,0.00558659217877095
gpt56_sol,L1,10,1,,0,0
gpt56_sol,L2,90,0.9777777777777777,0,0.022222222222222223,0
gpt56_sol,L3,180,1,,0,0
gpt56_sol,L4,180,0.9944444444444445,0,0.005555555555555556,0
gpt56_sol,L5,180,1,,0,0
grok46,L1,10,1,,0,0
grok46,L2,85,0.6823529411764706,0.3758498776176232,0.5176470588235295,0.24705882352941178
grok46,L3,180,0.9888888888888889,0,0,0.011111111111111112
grok46,L4,165,0.7515151515151515,0.457280385078219,0.41818181818181815,0.24242424242424243
grok46,L5,164,0.4024390243902439,0.04378867206092342,0.8658536585365854,0.32926829268292684
llama_maverick,L1,8,1,,0,0
llama_maverick,L2,16,1,1,0.0625,0.0625
llama_maverick,L3,39,1,,0,0
llama_maverick,L4,26,0.8461538461538461,0.5047619047619046,0.19230769230769232,0.19230769230769232
llama_maverick,L5,49,0.9591836734693877,0.8506097560975607,0.16326530612244897,0.16326530612244897
sabia4,L1,10,1,,0,0
sabia4,L2,81,0.9259259259259259,0.4611973392461197,0.08641975308641975,0.06172839506172839
sabia4,L3,177,0.9830508474576272,-0.007590132827324578,0.011299435028248588,0.005649717514124294
sabia4,L4,155,0.8387096774193549,0.35448942195568917,0.17419354838709677,0.11612903225806452
sabia4,L5,128,0.765625,0.33217391304347826,0.2421875,0.2109375
