model,cargo,ask,n_party,mean_zeta,beta_label,gamma_issue,gamma_share
claude_opus,dep_federal,candidate,82,-0.28241463414634144,0.5327614942528736,0.259744019138756,0.32775042539092
claude_opus,dep_federal,open,68,-0.35467647058823526,0.45698357487922703,0.42919627906976743,0.484321864412944
claude_opus,presidente,candidate,196,-0.29534693877551016,0.3953420833333333,9.136904761904985e-4,0.002305809874784816
claude_opus,presidente,open,261,-0.4830804597701149,0.2116701176470588,0.14882068965517237,0.41282797408590477
claude_sonnet,dep_federal,candidate,194,-0.0875360824742268,0.5568201852443309,0.5908450854700854,0.5148235296013507
claude_sonnet,dep_federal,open,292,-0.013828767123287658,0.5670047491418629,0.29280667712940506,0.34054755285029836
claude_sonnet,presidente,candidate,410,-0.05738292682926827,0.4767865235539654,0.2775974866717441,0.3679790171966764
claude_sonnet,presidente,open,443,-0.2125395033860045,0.4055417651854871,0.47492118246687054,0.5393993963439204
deepseek,dep_federal,candidate,130,-0.16504615384615384,0.6074940791131267,0.901984721890666,0.597547127717761
deepseek,dep_federal,open,143,-0.047328671328671315,0.5537300237341771,0.514316098707403,0.4815485847480664
deepseek,presidente,candidate,259,0.03005405405405407,0.39351908852302553,0.6886055555555555,0.6363458769039464
deepseek,presidente,open,225,0.1705688888888889,0.48774256789329906,0.6115659422694094,0.5563187554864755
gemini_flash,dep_federal,candidate,349,-0.07517765042979942,0.5421976014272498,0.7540634825071911,0.5817219168675808
gemini_flash,dep_federal,open,400,0.03610250000000001,0.3735059638418644,0.45842879287928795,0.5510393563625855
gemini_flash,presidente,candidate,355,0.10440845070422536,0.3628171878972794,0.7034465987726857,0.6597303665067823
gemini_flash,presidente,open,369,-0.01699728997289971,0.32755252643948296,0.6499309603440038,0.6649022404282968
gemini_pro,dep_federal,candidate,26,-0.6575384615384615,0.5059583333333333,-0.03782608695652179,-0.08080213924437628
gemini_pro,dep_federal,open,20,-0.5726,1.184,0.2368,0.16666666666666669
gemini_pro,presidente,candidate,14,-0.4372857142857142,1.0853333333333333,0.35519999999999996,0.2465753424657534
gemini_pro,presidente,open,28,-0.2751785714285714,0.8316428571428571,0.18252941176470586,0.1799787051575777
gpt4o,dep_federal,candidate,204,-0.2598186274509804,0.3964206910285771,0.8775763326226012,0.6888370351977231
gpt4o,dep_federal,open,264,-0.07627272727272726,0.3849236127234734,0.7723732193732193,0.6673942224259776
gpt4o,presidente,candidate,198,-0.15388888888888885,0.5195741279069768,0.5917644824311491,0.5324790094812816
gpt4o,presidente,open,168,-0.22545238095238093,0.44525014376078204,0.5161614996395096,0.5368787690296377
grok,dep_federal,candidate,455,-0.01477582417582417,0.3929578743961353,0.7685266465560583,0.6616761848242407
grok,dep_federal,open,466,0.04054291845493563,0.4682455374412821,0.6888878573533745,0.5953400536639284
grok,presidente,candidate,474,-0.08543037974683543,0.5160421940928269,0.5370776598775103,0.5099872135661379
grok,presidente,open,480,-0.31453125,0.31597916666666664,0.44263749999999996,0.5834797987565086
llama,dep_federal,candidate,205,-0.3007170731707317,0.6373525,0.7710332760841563,0.5474588633150781
llama,dep_federal,open,315,-0.07722539682539681,0.547091960670908,0.5108031050376001,0.482848556151926
llama,presidente,candidate,224,-0.16988392857142853,0.24066937251400278,0.6670383725568408,0.7348602853496427
llama,presidente,open,235,-0.1395106382978723,0.3487058608058608,0.6333649375181633,0.6449279813624914
mistral,dep_federal,candidate,444,0.004209459459459467,0.4813485020703093,0.7918461491628614,0.6219364402732196
mistral,dep_federal,open,466,0.0411716738197425,0.4318800678166003,0.5868162024756852,0.5760462854225581
mistral,presidente,candidate,478,-0.041485355648535546,0.2299832282913165,0.8668200836820084,0.7903149764586871
mistral,presidente,open,471,-0.03914012738853501,0.27685378123985716,0.8291573593073592,0.749682646864769
sabia4,dep_federal,candidate,185,-0.1319945945945946,0.5436591865357643,0.5383905700211119,0.4975654462825178
sabia4,dep_federal,open,289,-0.06565743944636677,0.5310282088122605,0.4653930968360498,0.46706457820394254
sabia4,presidente,candidate,260,-0.32676923076923076,0.4312122319688109,0.4114063714063714,0.48824743455514424
sabia4,presidente,open,345,-0.26874492753623186,0.48463092436974786,0.36323462391611205,0.42841064205341034
