model,cue_group,n_party,follow_label_rate,follow_issue_rate,mean_zeta
claude_opus,party_id,130,0.7615384615384615,0.23846153846153847,-0.623976923076923
claude_opus,past_vote,65,0.5538461538461539,0.4461538461538462,-0.3485384615384615
claude_opus,past_vote_undec,83,0.4819277108433735,0.5180722891566265,-0.4710361445783132
claude_opus,self_placement,33,0.48484848484848486,0.5151515151515151,-0.2956969696969697
claude_sonnet,party_id,177,0.864406779661017,0.13559322033898305,-0.25392655367231637
claude_sonnet,past_vote,165,0.38181818181818183,0.6181818181818182,-0.15535757575757575
claude_sonnet,past_vote_undec,159,0.27672955974842767,0.7232704402515723,-0.14289937106918238
claude_sonnet,self_placement,170,0.6,0.4,0.006023529411764719
deepseek,party_id,87,0.7816091954022989,0.21839080459770116,-0.05854022988505745
deepseek,past_vote,86,0.2441860465116279,0.7558139534883721,0.17543023255813955
deepseek,past_vote_undec,100,0.2,0.8,0.08760000000000001
deepseek,self_placement,75,0.4533333333333333,0.5466666666666666,0.21329333333333333
gemini_flash,party_id,171,0.6608187134502924,0.3391812865497076,0.004134502923976627
gemini_flash,past_vote,174,0.3103448275862069,0.6896551724137931,0.025695402298850586
gemini_flash,past_vote_undec,192,0.2604166666666667,0.7395833333333334,0.06958333333333334
gemini_flash,self_placement,184,0.40217391304347827,0.5978260869565217,0.18117391304347827
gemini_pro,party_id,26,1,0,-0.6454615384615384
gemini_pro,past_vote,5,0.4,0.6,-0.2934
gemini_pro,past_vote_undec,3,0.3333333333333333,0.6666666666666666,-0.691
gemini_pro,self_placement,2,1,0,0.493
gpt4o,party_id,110,0.5909090909090909,0.4090909090909091,-0.047872727272727254
gpt4o,past_vote,98,0.1836734693877551,0.8163265306122449,-0.09322448979591835
gpt4o,past_vote_undec,92,0.2391304347826087,0.7608695652173914,-0.10955434782608693
gpt4o,self_placement,99,0.5252525252525253,0.47474747474747475,0.06961616161616163
grok,party_id,236,0.690677966101695,0.3093220338983051,0.08492796610169492
grok,past_vote,230,0.25217391304347825,0.7478260869565218,-0.05473043478260868
grok,past_vote_undec,233,0.24034334763948498,0.759656652360515,-0.17596995708154506
grok,self_placement,234,0.5085470085470085,0.49145299145299143,0.0975
llama,party_id,131,0.6793893129770993,0.32061068702290074,-0.1550687022900763
llama,past_vote,108,0.18518518518518517,0.8148148148148148,-0.05720370370370369
llama,past_vote_undec,109,0.25688073394495414,0.7431192660550459,-0.10188073394495412
llama,self_placement,109,0.5412844036697247,0.45871559633027525,-0.08199999999999998
mistral,party_id,233,0.5021459227467812,0.4978540772532189,0.0652961373390558
mistral,past_vote,231,0.22077922077922077,0.7792207792207793,0.07071428571428573
mistral,past_vote_undec,231,0.13852813852813853,0.8614718614718615,-0.032480519480519464
mistral,self_placement,230,0.4434782608695652,0.5565217391304348,0.15049565217391306
sabia4,party_id,140,0.8142857142857143,0.18571428571428572,-0.2647
sabia4,past_vote,142,0.33098591549295775,0.6690140845070423,-0.2939295774647887
sabia4,past_vote_undec,159,0.18867924528301888,0.8113207547169812,-0.2530880503144654
sabia4,self_placement,172,0.7790697674418605,0.22093023255813954,-0.12108139534883719
